object_id,province_code,road,pk_start_km,pk_end_km,aadt_total,aadt_heavy,aadt_light,aadt_motorcycles,aadt_cars,aadt_cars_caravan,aadt_vans,aadt_tractors,aadt_rigid_trucks,aadt_articulated_trucks,aadt_road_trains,aadt_special_vehicles,aadt_buses,speed_avg_kph,speed_light_kph,speed_heavy_kph,aadt_pct_ascending,aadt_pct_descending,year,shape_length_m
1841,19,N-211,22.1,22.7,2033,365,1668,90,1437,5,136,0,38,298,2,10,17,85.8,88.1,75.1,,,2022,597.2403813374065
1842,9,N-234,479.6,482.1,6546,1033,5513,0,4751,0,762,0,189,736,77,3,28,,,,,,2022,2453.6516916188375
1843,6,N-630,715.9,719.1,1459,103,1356,46,1181,15,114,0,77,6,2,0,18,,,,,,2022,3173.6760841745822
1844,10,N-630A,472.1,472.395,8094,151,7943,164,7415,35,329,0,99,40,1,0,11,43.5,43.4,43.1,,,2022,296.5519888363079
1845,9,BU-30,1.8,4.2,31045,5701,25344,699,22354,131,2160,0,1548,3689,195,20,249,113.9,118.4,99.4,43.0922853921727,56.9077146078273,2022,2352.120312089282
1846,4,A-7S,662.89,664.2,15365,3660,11705,188,10687,79,751,0,1149,2293,109,16,93,,,,52.6846729580215,47.3153270419785,2022,1267.5361548623475
1847,9,N-623,79.2,81.3,928,59,869,26,813,0,30,0,15,35,3,0,6,79.6,80.1,73.5,,,2022,2087.955512371103
1848,19,A-2,131.6,134.3,20437,6950,13487,296,11989,35,1167,0,857,5520,319,36,218,111.4,121.1,92.9,48.9700053823947,51.0299946176053,2022,2663.295226567139
1849,18,N-340,338.666,351.9,5349,276,5073,214,4348,9,499,3,225,20,1,0,30,75.6,75.9,69.5,,,2022,12880.028675582738
1850,22,A-23,332.2,341.2,16576,1998,14578,116,13858,84,520,0,491,1295,73,19,120,117.2,120.4,94.7,50.4464285714286,49.5535714285714,2022,9083.32136059062
1851,21,A-49,49,52.5,33000,3900,29100,195,27106,150,1649,0,845,2798,64,5,188,,,,49.9363636363636,50.0636363636364,2022,3477.372305587319
1852,2,N-322A,406.1,406.3,1477,58,1419,24,1106,4,276,9,30,19,2,1,6,78.4,78.7,71,,,2022,208.95449370650294
1853,6,N-432,25,30.6,4499,580,3919,31,3592,25,267,4,245,284,9,6,36,,,,,,2022,5642.954850671456
1854,10,A-66,470.7,478,11913,2643,9270,306,8503,102,359,0,372,2056,111,19,85,114.4,121.5,90.7,50.0293796692689,49.9706203307311,2022,6862.931474683656
1855,15,N-6,584,585.7,21696,1194,20502,341,17158,132,2863,8,728,373,19,0,74,69.4,69.7,64.4,,,2022,1757.0350661732011
1856,13,N-502A,327.4,327.7,700,49,651,0,575,17,59,0,40,3,3,0,3,,,,,,2022,706.7157222703628
