lat,lon,name,aadt_assigned,impute_tier,edge_dist_m,highway_class,through_gap_km,stop_rate,usage_count,lambda_k
42.503028,-8.767139,E.S. PEIBAR BARRANTES,18954.01308347384,3,1100.3109151411993,motorway,18.8798,0.07922363538477589,0,9.760437840422123
42.344972,-7.812389,J.L E HIJOS,2235.9743420531636,3,28.550733834647456,primary,6.9638,0.064724380542176,0,0.9406933522843388
42.318278,-7.118583,PETROL LENTELLAIS,1634.8745611488,3,47.61023246614525,primary,39.0528,0.11400917291019468,0,1.2115395274351992
42.218333,-8.013389,ESTACIÓN DE SERVICIO OUTOMURO S.L.,3743.960351608901,3,3565.254466414795,primary,53.2426,0.14833186243209753,0,3.6097659768695136
42.269806,-7.806028,OURENSANA DE PETROLEOS SL,6823.697252065571,3,2196.343103070333,primary,2.1502,0.05987816945223709,0,2.655838252274655
42.27225,-7.646778,EESS MACEDA,918.661192528345,3,410.14893924176454,secondary,31.4668,0.09919806248399123,0,0.5923411674572904
43.406833,-8.168972,COMBUSTIBLES RIO EUME,14341.0,1,20.53881970821141,trunk,25.4014,0.08890820471309659,0,8.287711664638369
42.851111,-7.153056,E.S.RUTANCARES S.L.,2011.0,1,8.14585837560635,trunk,14.77,0.0737864588101918,0,0.9644996963374223
42.901972,-7.46475,LIBRE,2000.7211150120104,3,107.11759678994193,primary,0.0026,0.05788131370079537,0,0.7527283821577994
43.084222,-7.605972,Q8,6495.0,1,85.32538681099646,trunk,5.9678,0.06367787244915249,0,2.6883205801220953
42.034389,-7.973083,REPSOL,1067.3706191032927,3,439.0179775788957,secondary,31.6024,0.09944326035773328,0,0.689928293428944
42.793361,-8.166444,REPSOL,1062.1752630577232,3,242.67811969343097,secondary,0.0238,0.05790055041322527,0,0.3997534603813044
41.910778,-8.852611,REPSOL,4530.797613705356,3,53.9835935976174,primary,0.4556,0.0582944003523148,0,1.7167808450562416
42.084444,-8.496806,MOEVE,4121.29258544278,3,295.48750641011947,secondary_link,1.4788,0.05924334342761807,0,1.5870344880330371
42.188778,-7.101333,REPSOL,1241.7409128104955,3,1539.3583505608294,primary,11.1544,0.06939306995444428,0,0.5600933911817024
42.396056,-7.106472,PETROL A RUA,3816.0,1,506.36224042284056,trunk,0.0124,0.05789020498286565,0,1.4359086443949998
42.340417,-7.260361,REPSOL,1190.7290077343398,3,3283.158044706127,primary,43.1638,0.12302013138932136,0,0.9521436533736058
42.207083,-8.267611,REPSOL,4716.674545920218,3,86.11825092574598,motorway_link,0.041,0.05791616441922316,0,1.7756160403376209
42.250722,-7.864556,REPSOL,20157.097891276968,3,63.53455317705107,motorway_link,16.0438,0.07541968394879946,0,9.881572689853288
42.215667,-8.268056,REPSOL,920.0,1,97.40881561717828,trunk,1.5866,0.059344617178123685,0,0.3548808107251797
