lat,lon,c,p_kw,wq_minutes
42.878556,-2.518167,4,150,0.128057
42.878556,-2.518167,5,150,0.018506
42.878556,-2.518167,6,150,0.002436
42.878556,-2.518167,7,150,0.00029
42.966111,-2.870083,2,150,1.479472
42.966111,-2.870083,3,150,0.148028
42.966111,-2.870083,4,150,0.014111
42.966111,-2.870083,5,150,0.001204
42.966111,-2.870083,6,150,9.1e-05
42.966111,-2.870083,7,150,6e-06
42.966472,-2.873583,2,150,1.479631
42.966472,-2.873583,3,150,0.148049
42.966472,-2.873583,4,150,0.014114
42.966472,-2.873583,5,150,0.001204
42.966472,-2.873583,6,150,9.1e-05
42.966472,-2.873583,7,150,6e-06
42.743111,-2.913306,2,150,7.691408
42.743111,-2.913306,3,150,1.072183
42.743111,-2.913306,4,150,0.173336
42.743111,-2.913306,5,150,0.026813
42.743111,-2.913306,6,150,0.0038
42.743111,-2.913306,7,150,0.000489
42.741361,-2.913222,2,150,2.906081
42.741361,-2.913222,3,150,0.352943
42.741361,-2.913222,4,150,0.043254
42.741361,-2.913222,5,150,0.004846
42.741361,-2.913222,6,150,0.000487
42.741361,-2.913222,7,150,4.4e-05
42.670222,-2.357278,2,150,18.050817
42.670222,-2.357278,3,150,2.321272
42.670222,-2.357278,4,150,0.431117
42.670222,-2.357278,5,150,0.080768
42.670222,-2.357278,6,150,0.014188
42.670222,-2.357278,7,150,0.00229
42.961583,-2.827722,2,150,2.009962
42.961583,-2.827722,3,150,0.221279
42.961583,-2.827722,4,150,0.023755
42.961583,-2.827722,5,150,0.002302
42.961583,-2.827722,6,150,0.000199
42.961583,-2.827722,7,150,1.5e-05
43.178611,-2.055778,2,150,1.438181
43.178611,-2.055778,3,150,0.142553
43.178611,-2.055778,4,150,0.013436
43.178611,-2.055778,5,150,0.001132
43.178611,-2.055778,6,150,8.5e-05
43.178611,-2.055778,7,150,6e-06
43.312222,-1.879444,2,150,0.127229
43.312222,-1.879444,3,150,0.004608
43.312222,-1.879444,4,150,0.000145
43.312222,-1.879444,5,150,4e-06
43.312222,-1.879444,6,150,0.0
43.312222,-1.879444,7,150,0.0
43.312139,-1.879528,2,150,0.127319
43.312139,-1.879528,3,150,0.004613
43.312139,-1.879528,4,150,0.000146
43.312139,-1.879528,5,150,4e-06
43.312139,-1.879528,6,150,0.0
